 Number XWIN YWIN XWORLD YWORLD MAG MAGERROR FLUX FLUXERROR FLUXRADIUS FWHM BACKGROUND RA DEC BMAG GMAG RMAG BmG BmR GmR
0 2 453.4629 61.8967 319.64522415 61.181432634 -10.8111 0.0497 21107.29 966.7366 1.9669999999999999 2.54 358.0168 319.64522420000003 61.1814326 6.757920742034912 5.111451625823975 4.050155162811279 1.6464691162109375 2.707765579223633 1.0612964630126953
1 3 488.3332 32.3847 318.18777752 60.086178198 -11.2142 0.0476 30596.19 1340.743 2.648 2.23 357.4587 318.1877775 60.0861782 6.688350200653076 4.846180438995361 3.7208681106567383 1.8421697616577148 2.967482089996338 1.125312328338623
2 4 482.7756 22.8309 317.57555094 60.208404482 -8.8892 0.2261 3594.704 748.2685 1.675 4.66 353.7039 317.57555089999994 60.20840450000001 7.8419318199157715 7.152856349945068 6.394075393676758 0.6890754699707031 1.4478564262390137 0.7587809562683105
3 5 386.697 19.3747 316.43933666 62.908457446999996 -10.0295 0.1003 10275.38 949.1581 2.206 4.78 351.0537 316.4393367 62.9084574 7.149293899536133 6.3406267166137695 5.505647659301758 0.8086671829223633 1.643646240234375 0.8349790573120117
4 6 369.2627 14.7815 315.99037897 63.38476351600001 -8.8106 0.2065 3343.7909999999997 635.722 1.212 2.35 350.3453 315.990379 63.3847635 7.456831455230713 7.24479341506958 6.948880195617676 0.2120380401611328 0.5079512596130371 0.2959132194519043
5 7 152.0327 14.6526 312.89031781 69.494154728 -6.1328 2.3548 283.8724 615.5352 0.743 4.39 371.8822 312.89031780000005 69.4941547 9.026015281677246 8.681036949157715 8.212568283081055 0.34497833251953125 0.8134469985961914 0.46846866607666016
6 8 412.0082 13.0533 316.38142584 62.159480433999995 -6.4372 1.8085 375.7359 625.71 0.42 3.24 348.2559 316.3814258 62.1594804 8.338785171508789 8.288381576538086 8.21997356414795 0.050403594970703125 0.11881160736083984 0.06840801239013672
7 10 169.5096 13.6034 312.97043097 68.962417715 -8.3127 0.3283 2113.854 639.0245 3.197 4.47 372.3308 312.970431 68.9624177 9.013851165771484 8.723435401916504 8.315519332885742 0.29041576385498047 0.6983318328857422 0.4079160690307617
8 11 167.0676 11.4557 312.88104392 69.08282984899999 -7.5118 0.6722 1010.904 625.71 1.7790000000000001 3.21 372.223 312.88104389999995 69.0828298 9.013851165771484 8.723435401916504 8.315519332885742 0.29041576385498047 0.6983318328857422 0.4079160690307617
9 13 423.8772 9.9497 316.26777942 61.818871211 -7.5648 0.6504 1061.509 635.722 0.887 2.55 345.4697 316.2677794 61.818871200000004 8.451562881469727 7.8914642333984375 7.227867126464844 0.5600986480712891 1.2236957550048828 0.6635971069335938
10 14 421.0423 8.2728 316.17142984 61.897480339 -6.749 1.3716 500.7353 632.4023 0.58 4.29 345.815 316.1714298 61.8974803 8.451562881469727 7.8914642333984375 7.227867126464844 0.5600986480712891 1.2236957550048828 0.6635971069335938
11 15 363.9836 8.0717 315.61614294 63.513660348 -6.4095 1.885 366.2595 635.722 0.81 3.4 351.3561 315.61614289999994 63.5136603 10.588940620422363 10.070512771606445 9.424681663513184 0.518427848815918 1.1642589569091797 0.6458311080932617
12 17 385.4256 10.8938 315.79767593 62.947924118 -6.9049 1.2005 578.0658 639.0245 1.13 2.53 349.2829 315.79767589999994 62.9479241 11.167952537536621 10.057944297790527 9.04978084564209 1.1100082397460938 2.1181716918945312 1.0081634521484375
